Month of Year,2020,2021,2022,2023,2024,
January,118.59999999999999,122.3,161,149.30000000000001,142,
February,119.5,123.3,160.90000000000001,149.09999999999999,141.19999999999999,
March,119.40000000000001,126,160.30000000000001,150.90000000000001,137.30000000000001,
April,116.09999999999999,130.59999999999999,162.59999999999999,148.69999999999999,138,
May,114.7,133.5,165.40000000000001,148.30000000000001,137.90000000000001,
June,116,135.09999999999999,169.5,152.19999999999999,138.19999999999999,
July,120.5,136.5,171.59999999999999,148.19999999999999,137,
August,124.09999999999999,139.09999999999999,170.80000000000001,147.40000000000001,137.30000000000001,
September,126.40000000000001,144.59999999999999,168.30000000000001,148,136.80000000000001,
October,127.2,150.59999999999999,163.19999999999999,147.80000000000001,136.90000000000001,
November,125.40000000000001,156.59999999999999,156.69999999999999,146.59999999999999,137.19999999999999,
December,124.59999999999999,160.80000000000001,151.30000000000001,146.90000000000001,137.30000000000001
