DATE,Arbeitslosenquote ,Bestand Arbeitslose,Zugang Arbeitslose,Abgang Arbeitslose
11/24,6.0,28066300.0,562260.0,5296700.0
10/24,5.9,27740300.0,554830.0,5713500.0
09/24,6.0,27905300.0,614150.0,6299900.0
08/24,6.0,28063600.0,536900.0,6024500.0
07/24,6.1,28719100.0,591370.0,5281800.0
06/24,6.0,28087200.0,639110.0,5569700.0
05/24,5.8,27265700.0,501830.0,4978000.0
04/24,5.8,27225500.0,530150.0,5571700.0
03/24,6.0,27495800.0,594500.0,6142200.0
02/24,6.0,27692800.0,544550.0,5890900.0
01/24,6.1,28138100.0,579240.0,5708100.0
12/23,6.1,28053800.0,633170.0,4644300.0
11/23,5.7,26367300.0,557170.0,5262000.0
10/23,5.6,26057300.0,552180.0,5535700.0
09/23,5.7,26071200.0,547140.0,5671300.0
08/23,5.7,26271000.0,519570.0,5883000.0
07/23,5.8,26958300.0,608750.0,5301100.0
06/23,5.7,26171900.0,557300.0,4950400.0
05/23,5.5,25549800.0,512780.0,5015200.0
04/23,5.5,25437400.0,480070.0,5219800.0
03/23,5.7,25856800.0,554070.0,5621600.0
02/23,5.7,25937700.0,511820.0,5382200.0
01/23,5.7,26201700.0,578700.0,5745100.0
12/22,5.7,26160200.0,570110.0,4079200.0
11/22,5.4,24538800.0,524930.0,5050600.0
10/22,5.3,24340200.0,531660.0,5399800.0
09/22,5.3,24423500.0,544180.0,5875900.0
08/22,5.4,24857400.0,544760.0,6063600.0
07/22,5.6,25473400.0,579820.0,5027100.0
06/22,5.4,24702400.0,577240.0,4698900.0
05/22,6.2,23628900.0,565700.0,4624600.0
04/22,4.9,22596500.0,435200.0,4847600.0
03/22,5.0,23092100.0,470250.0,5232000.0
02/22,5.1,23621600.0,437160.0,5029500.0
01/22,5.3,24279600.0,498770.0,5329800.0
12/21,5.4,24621600.0,531340.0,3986700.0
11/21,5.1,23295300.0,500800.0,4883500.0
10/21,5.1,23170700.0,466150.0,5260000.0
09/21,0.2,23769300.0,476910.0,5647800.0
08/21,5.4,24647900.0,498150.0,6118300.0
07/21,5.6,25784700.0,523680.0,5355200.0
06/21,5.6,25903100.0,489250.0,5127300.0
05/21,5.7,26138300.0,432020.0,5054000.0
04/21,5.9,26871900.0,436860.0,5209100.0
03/21,6.0,27712300.0,497980.0,5542100.0
02/21,6.2,28274500.0,430230.0,5072000.0
01/21,6.3,29044100.0,473010.0,4692700.0
12/20,6.3,29006600.0,598660.0,4052600.0
11/20,5.9,27072400.0,482430.0,4743200.0
10/20,5.9,26991300.0,506820.0,5674800.0
09/20,6.0,27597800.0,534670.0,6220400.0
08/20,6.2,28471500.0,496680.0,6050100.0
07/20,6.4,29554900.0,524590.0,4791200.0
06/20,6.3,29100100.0,471500.0,4148300.0
05/20,6.2,28533100.0,418630.0,3783200.0
04/20,6.1,28129900.0,484300.0,3150600.0
03/20,5.8,26437400.0,667530.0,3591600.0
02/20,5.1,23353700.0,584760.0,6450000.0
01/20,5.3,23956000.0,599800.0,6297100.0
12/19,5.3,24255200.0,673900.0,4755500.0
