DATE,Verbraucherpreisindex
01-01-20,99.8
02-01-20,100.1
03-01-20,100.3
04-01-20,100.4
05-01-20,100.4
06-01-20,100.5
07-01-20,99.7
08-01-20,99.7
09-01-20,99.7
10-01-20,99.9
11-01-20,99.7
12-01-20,99.8
01-01-21,101.0
02-01-21,101.6
03-01-21,102.1
04-01-21,102.4
05-01-21,102.6
06-01-21,102.9
07-01-21,103.4
08-01-21,103.5
09-01-21,103.8
10-01-21,104.3
11-01-21,104.5
12-01-21,104.7
01-01-22,105.2
02-01-22,106.0
03-01-22,108.1
04-01-22,108.8
05-01-22,109.8
06-01-22,109.8
07-01-22,110.3
08-01-22,110.7
09-01-22,112.7
10-01-22,113.5
11-01-22,113.7
12-01-22,113.2
01-01-23,114.3
02-01-23,115.2
03-01-23,116.1
04-01-23,116.6
05-01-23,116.5
06-01-23,116.8
07-01-23,117.1
08-01-23,117.5
09-01-23,117.8
10-01-23,117.8
11-01-23,117.3
12-01-23,117.4
01-01-24,117.6
02-01-24,118.1
03-01-24,118.6
04-01-24,119.2
05-01-24,119.3
06-01-24,119.4
07-01-24,119.8
08-01-24,119.7
09-01-24,119.7
10-01-24,120.2
11-01-24,119.9
12-01-24,120.5
