DATE,SALES
2015-1,19321
2015-2,15012
2015-3,20357
2015-4,21038
2015-5,14292
2015-6,16044
2015-7,25536
2015-8,19976
2015-9,18912
2015-10,21454
2015-11,18626
2015-12,22059
2016-1,18646
2016-2,15664
2016-3,20199
2016-4,22893
2016-5,19781
2016-6,23458
2016-7,21157
2016-8,17392
2016-9,18656
2016-10,19083
2016-11,18592
2016-12,23012
2017-1,18457
2017-2,14578
2017-3,22293
2017-4,20221
2017-5,20097
2017-6,20641
2017-7,21745
2017-8,18106
2017-9,18673
2017-10,20683
2017-11,18257
2017-12,23066
2018-1,21200
2018-2,14576
2018-3,20441
2018-4,22541
2018-5,19575
2018-6,23059
2018-7,23925
2018-8,20854
2018-9,20377
2018-10,23353
2018-11,20840
2018-12,20990
2019-1,23476
2019-2,16238
2019-3,20960
2019-4,23196
2019-5,22570
2019-6,19567
2019-7,23724
2019-8,18551
2019-9,17909
2019-10,21716
2019-11,19499
2019-12,22798
2020-1,23424
2020-2,15386
2020-3,19481
2020-4,12510
2020-5,14415
2020-6,17171
2020-7,22625
2020-8,19294
2020-9,21560
2020-10,21221
2020-11,19757
2020-12,24323
2021-1,15413
2021-2,13477
2021-3,20569
2021-4,20480
2021-5,18410
2021-6,21009
2021-7,20518
2021-8,17528
2021-9,16975
2021-10,16807
2021-11,17891
2021-12,19695
2022-1,14841
2022-2,13726
2022-3,18019
2022-4,15106
2022-5,16728
2022-6,17003
2022-7,16459
2022-8,16523
2022-9,14633
2022-10,14366
2022-11,16045
2022-12,18317
2023-1,12606
2023-2,10913
2023-3,15525
2023-4,12678
2023-5,13817
2023-6,16000
2023-7,16532
2023-8,16561
2023-9,14412
2023-10,14966
2023-11,16081
2023-12,20171
2024-1,15588
2024-2,12693
2024-3,15804
2024-4,16727
2024-5,14723
2024-6,16548
2024-7,18461
2024-8,14819
2024-9,15297
2024-10,16070
2024-11,15143
2024-12,19464
2025-1,13541
2025-2,12601
2025-3,14930
2025-4,16113
