Datum;in jeweiligen Preisen, Mrd. EUR, Originalwert;in jeweiligen Preisen, Mrd. EUR, saison- und kalenderbereinigte Werte nach X13 JDemetra+;preisbereinigt, Kettenindex (2020=100), Originalwert;preisbereinigt, Kettenindex (2020=100), saison- und kalenderbereinigte Werte nach X13 JDemetra+
01/07/2000;537,70;534,08;82,51;82,16
01/10/2000;547,59;533,24;83,34;81,81
01/01/2001;536,83;547,66;82,36;83,57
01/04/2001;538,24;547,43;82,34;83,33
01/07/2001;553,54;549,77;83,66;83,32
01/10/2001;566,92;553,46;84,52;83,07
01/01/2002;537,18;551,88;80,86;82,72
01/04/2002;546,09;553,45;82,33;83,01
01/07/2002;567,13;560,41;84,32;83,58
01/10/2002;572,96;561,32;84,61;83,36
01/01/2003;543,46;556,21;80,62;82,24
01/04/2003;547,96;557,32;81,37;82,34
01/07/2003;571,48;564,77;83,82;83,09
01/10/2003;577,91;566,01;84,53;83,19
01/01/2004;558,36;567,31;82,00;83,09
01/04/2004;566,57;573,57;82,95;83,56
01/07/2004;579,23;572,43;84,02;83,29
01/10/2004;588,88;572,65;85,24;83,25
01/01/2005;560,71;574,33;81,61;83,40
01/04/2005;576,06;577,81;84,01;83,86
01/07/2005;589,03;583,09;85,17;84,55
01/10/2005;599,91;587,25;86,37;84,87
01/01/2006;586,21;592,03;85,13;85,82
01/04/2006;594,16;603,87;86,30;87,28
01/07/2006;612,83;609,74;88,18;87,96
01/10/2006;632,98;621,41;90,57;89,24
01/01/2007;621,55;628,13;88,56;89,36
01/04/2007;622,79;633,42;88,87;89,95
01/07/2007;641,64;638,91;90,56;90,40
01/10/2007;656,24;645,18;92,30;91,07
01/01/2008;639,61;650,58;90,19;91,62
01/04/2008;646,56;648,91;91,42;91,29
01/07/2008;653,19;647,24;91,41;90,79
01/10/2008;650,32;639,64;90,55;89,39
01/01/2009;607,62;615,77;84,17;85,19
01/04/2009;608,29;618,79;84,40;85,42
01/07/2009;631,06;625,19;86,53;85,93
01/10/2009;647,90;633,17;88,30;86,60
01/01/2010;630,08;636,89;86,39;87,22
01/04/2010;639,31;648,12;88,36;89,12
01/07/2010;665,21;659,32;90,56;89,98
01/10/2010;681,46;666,29;92,33;90,57
01/01/2011;674,48;678,98;91,71;92,21
01/04/2011;673,94;682,61;91,73;92,46
01/07/2011;695,28;689,74;93,45;92,96
01/10/2011;704,11;692,72;94,21;92,96
01/01/2012;694,72;695,16;93,21;93,16
01/04/2012;685,51;697,81;92,01;93,25
01/07/2012;706,28;704,13;93,48;93,45
01/10/2012;713,87;704,53;94,14;93,14
01/01/2013;698,16;706,43;91,64;92,62
01/04/2013;706,31;715,91;92,85;93,74
01/07/2013;728,23;722,98;94,64;94,21
01/10/2013;734,58;726,71;95,15;94,32
01/01/2014;733,12;739,58;94,58;95,31
01/04/2014;731,02;743,73;94,03;95,34
01/07/2014;754,31;748,94;96,27;95,83
01/10/2014;766,72;757,58;97,53;96,54
01/01/2015;754,18;759,54;95,75;96,32
01/04/2015;755,84;768,81;95,55;96,91
01/07/2015;780,07;774,69;97,84;97,36
01/10/2015;795,56;779,87;99,60;97,81
01/01/2016;782,08;790,25;97,86;98,76
01/04/2016;792,91;795,55;99,00;99,08
01/07/2016;803,38;799,55;99,69;99,38
01/10/2016;817,74;805,54;101,09;99,78
01/01/2017;819,42;817,73;101,32;100,97
01/04/2017;815,14;828,77;100,41;101,85
01/07/2017;838,76;839,10;102,40;102,56
01/10/2017;857,79;849,67;104,30;103,54
01/01/2018;845,44;848,87;102,77;103,04
01/04/2018;847,26;858,52;102,65;103,79
01/07/2018;856,91;857,75;102,85;103,04
01/10/2018;881,52;870,76;104,72;103,69
01/01/2019;873,09;876,83;103,97;104,27
01/04/2019;865,82;880,89;102,74;104,34
01/07/2019;891,83;888,72;104,95;104,62
01/10/2019;904,14;894,56;105,43;104,58
01/01/2020;881,22;881,49;102,40;102,28
01/04/2020;794,87;809,07;91,66;93,18
01/07/2020;871,24;867,88;101,69;101,29
01/10/2020;902,29;884,21;104,24;102,44
01/01/2021;885,32;886,53;101,35;101,30
01/04/2021;895,50;907,73;102,55;103,88
01/07/2021;931,31;928,45;104,35;103,92
01/10/2021;964,33;944,59;106,42;104,56
01/01/2022;963,76;962,52;105,13;104,75
01/04/2022;967,07;979,03;103,44;104,73
01/07/2022;995,32;993,64;105,74;105,35
01/10/2022;1027,70;1012,07;106,03;104,81
01/01/2023;1034,14;1029,72;105,72;104,96
01/04/2023;1024,06;1041,19;102,98;104,80
01/07/2023;1048,71;1052,40;104,96;105,00
01/10/2023;1078,64;1063,81;105,57;104,61
01/01/2024;1064,83;1068,12;104,90;104,86
01/04/2024;1060,79;1073,78;103,12;104,55
01/07/2024;1078,22;1078,03;105,10;104,66
01/10/2024;1101,42;1087,97;105,14;104,45
