Woche,BMW Leasing
2014-12-28,58
2015-01-04,69
2015-01-11,73
2015-01-18,76
2015-01-25,75
2015-02-01,72
2015-02-08,66
2015-02-15,77
2015-02-22,73
2015-03-01,80
2015-03-08,85
2015-03-15,76
2015-03-22,73
2015-03-29,79
2015-04-05,73
2015-04-12,72
2015-04-19,76
2015-04-26,66
2015-05-03,69
2015-05-10,68
2015-05-17,67
2015-05-24,66
2015-05-31,67
2015-06-07,66
2015-06-14,83
2015-06-21,68
2015-06-28,56
2015-07-05,72
2015-07-12,72
2015-07-19,74
2015-07-26,61
2015-08-02,77
2015-08-09,71
2015-08-16,63
2015-08-23,70
2015-08-30,68
2015-09-06,69
2015-09-13,69
2015-09-20,68
2015-09-27,60
2015-10-04,73
2015-10-11,68
2015-10-18,84
2015-10-25,63
2015-11-01,69
2015-11-08,70
2015-11-15,68
2015-11-22,71
2015-11-29,63
2015-12-06,66
2015-12-13,60
2015-12-20,65
2015-12-27,66
2016-01-03,68
2016-01-10,70
2016-01-17,76
2016-01-24,74
2016-01-31,67
2016-02-07,75
2016-02-14,84
2016-02-21,76
2016-02-28,66
2016-03-06,74
2016-03-13,78
2016-03-20,79
2016-03-27,75
2016-04-03,68
2016-04-10,72
2016-04-17,78
2016-04-24,68
2016-05-01,74
2016-05-08,61
2016-05-15,75
2016-05-22,64
2016-05-29,65
2016-06-05,61
2016-06-12,61
2016-06-19,72
2016-06-26,63
2016-07-03,70
2016-07-10,67
2016-07-17,74
2016-07-24,70
2016-07-31,77
2016-08-07,67
2016-08-14,66
2016-08-21,74
2016-08-28,73
2016-09-04,71
2016-09-11,68
2016-09-18,78
2016-09-25,76
2016-10-02,69
2016-10-09,77
2016-10-16,70
2016-10-23,73
2016-10-30,72
2016-11-06,66
2016-11-13,79
2016-11-20,73
2016-11-27,66
2016-12-04,64
2016-12-11,62
2016-12-18,63
2016-12-25,56
2017-01-01,73
2017-01-08,85
2017-01-15,79
2017-01-22,85
2017-01-29,83
2017-02-05,85
2017-02-12,96
2017-02-19,100
2017-02-26,84
2017-03-05,96
2017-03-12,84
2017-03-19,99
2017-03-26,89
2017-04-02,88
2017-04-09,85
2017-04-16,72
2017-04-23,83
2017-04-30,74
2017-05-07,83
2017-05-14,70
2017-05-21,79
2017-05-28,66
2017-06-04,78
2017-06-11,79
2017-06-18,81
2017-06-25,81
2017-07-02,80
2017-07-09,77
2017-07-16,78
2017-07-23,81
2017-07-30,88
2017-08-06,83
2017-08-13,83
2017-08-20,78
2017-08-27,85
2017-09-03,80
2017-09-10,84
2017-09-17,76
2017-09-24,75
2017-10-01,77
2017-10-08,78
2017-10-15,88
2017-10-22,72
2017-10-29,74
2017-11-05,83
2017-11-12,76
2017-11-19,72
2017-11-26,81
2017-12-03,69
2017-12-10,67
2017-12-17,73
2017-12-24,74
2017-12-31,69
2018-01-07,76
2018-01-14,82
2018-01-21,88
2018-01-28,87
2018-02-04,89
2018-02-11,83
2018-02-18,84
2018-02-25,100
2018-03-04,99
2018-03-11,84
2018-03-18,89
2018-03-25,90
2018-04-01,80
2018-04-08,86
2018-04-15,96
2018-04-22,97
2018-04-29,91
2018-05-06,83
2018-05-13,87
2018-05-20,80
2018-05-27,83
2018-06-03,79
2018-06-10,85
2018-06-17,76
2018-06-24,79
2018-07-01,77
2018-07-08,81
2018-07-15,83
2018-07-22,80
2018-07-29,89
2018-08-05,82
2018-08-12,89
2018-08-19,86
2018-08-26,78
2018-09-02,83
2018-09-09,86
2018-09-16,88
2018-09-23,79
2018-09-30,99
2018-10-07,94
2018-10-14,98
2018-10-21,93
2018-10-28,86
2018-11-04,90
2018-11-11,91
2018-11-18,86
2018-11-25,87
2018-12-02,81
2018-12-09,86
2018-12-16,70
2018-12-23,94
2018-12-30,99
